enro_animal_id,redcap_data_access_group,enro_sex,enro_model,txas_reperfusion,txas_reperfusion_actual,corner_bl_conduct,corner_bl_conduct_rsn,corner_d7_conduct,corner_d7_conduct_rsn,behav_d30_conduct,behav_d30_conduct_rsn,corner_d30_conduct,corner_d30_conduct_rsn,crt_bl_right_s9,crt_bl_left_s9,crt_d7_right_s9,crt_d7_left_s9,crt_d30_right_s9,crt_d30_left_s9,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,neuro_d30_conduct,neuro_d30_conduct_rsn,neuro_d30_spont,neuro_d30_circling,neuro_d30_symmetry,neuro_d30_outstretching,neuro_d30_trunk,neuro_d30_vibrissae,neuro_d30_face,neuro_d30_beam,neuro_d30_climb,srg_clot_length,rand_clot_length
BW5451,iw,0,5,2,2,1,,1,,1,,1,,4,6,10,0,10,0,2,2,1,1,,0,0,1,1,0,1,2,2,0,4,4
BW5452,iw,1,5,2,2,1,,1,,1,,1,,5,5,5,5,2,8,1,1,0,1,,0,0,0,0,0,1,2,3,0,4,4
BW5453,iw,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW5454,iw,0,5,1,1,1,,0,1,0,1,,,3,6,,,,,2,,,,,,,,,,,,,,4,4
BW5455,iw,1,5,1,1,1,,1,,1,,1,,6,4,10,0,5,5,1,1,1,1,,1,0,1,1,1,1,1,3,0,4,4
BW5456,iw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW5457,iw,1,5,1,1,1,,1,,1,,1,,5,5,7,3,3,7,2,0,0,1,,0,0,0,1,2,3,2,3,0,4,4
BW5458,iw,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BW5459,iw,0,5,2,2,1,,1,,1,,1,,3,7,4,6,4,6,1,2,0,1,,0,0,0,1,0,0,0,3,0,3,3
BW5460,iw,0,5,2,2,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,,3
BW5461,iw,0,5,1,1,1,,1,,1,,1,,2,8,7,3,5,5,1,2,0,1,,0,0,0,1,0,0,0,2,0,3,3
BW5692,sd,0,5,2,2,1,,1,,1,,1,,6,4,10,0,8,2,2,1,1,1,,1,0,1,0,1,0,1,0,0,4,4
BW5693,sd,1,5,1,1,1,,1,,1,,1,,3,7,6,4,9,1,1,1,0,1,,0,0,0,0,0,1,1,3,0,4,4
BW5694,sd,0,5,2,2,1,,0,1,0,1,,,5,5,,,,,,,,,,,,,,,,,,,4,4
BW5704,sd,0,5,1,1,1,,0,1,0,1,,,7,3,,,,,3,3,,,,,,,,,,,,,4,4
BW5706,sd,1,5,1,1,1,,0,1,0,1,,,2,8,,,,,,,,,,,,,,,,,,,,4
CC9890,dk,0,5,2,2,1,,0,1,0,1,,,5,5,,,,,,,,,,,,,,,,,,,4,4
CC9891,dk,1,5,2,2,1,,1,,1,,1,,5,5,8,2,5,1,2,2,1,1,,0,1,0,0,0,0,0,1,0,4,4
CC9892,dk,0,5,2,2,1,,1,,1,,1,,7,3,2,0,8,0,2,2,2,1,,0,1,1,1,1,1,1,0,0,4,4
CC9893,dk,1,5,1,1,1,,1,,1,,1,,2,8,6,4,3,1,2,2,1,1,,0,1,0,1,0,1,0,0,0,4,4
CC9894,dk,0,5,1,1,1,,0,1,0,1,,,4,6,,,,,2,,,,,,,,,,,,,,4,4
CC9895,dk,1,5,1,1,1,,0,1,0,1,,,3,7,,,,,2,2,,,,,,,,,,,,,4,4
CC9916,ag,1,5,1,1,1,,0,1,0,1,,,7,3,,,,,3,3,,,,,,,,,,,,,4,4
CC9917,ag,1,5,2,2,1,,1,,1,,1,,6,4,1,0,2,0,2,2,2,1,,2,1,1,1,3,3,2,2,0,4,4
CC9918,ag,0,5,1,1,1,,1,,1,,1,,3,7,10,0,8,2,2,2,2,1,,0,1,1,1,2,1,1,0,0,4,4
CC9919,ag,0,5,2,2,1,,0,1,0,1,,,8,2,,,,,,,,,,,,,,,,,,,4,4
CD0516,yl,0,5,1,1,1,,1,,1,,1,,5,5,8,2,8,2,0,0,0,1,,0,0,0,0,0,1,1,0,0,3,3
CD0517,yl,1,5,2,2,1,,1,,1,,1,,6,4,7,1,3,1,1,1,0,1,,0,1,0,0,0,1,1,3,0,3,3
CD0523,yl,0,5,2,2,0,4,1,,1,,1,,,,6,4,5,5,1,1,0,1,,0,0,0,0,0,1,1,0,0,3,3
CD0698,dk,0,5,1,1,1,,1,,1,,1,,4,6,5,3,3,2,2,2,2,1,,0,1,0,1,2,1,1,1,0,3,3
CD0699,dk,1,5,1,1,1,,1,,1,,1,,6,4,2,8,4,5,2,2,2,1,,0,1,1,0,0,1,1,1,0,3,3
CD0700,dk,1,5,2,2,1,,1,,0,1,,,6,4,3,0,,,2,2,,,,,,,,,,,,,3,3
CD0701,dk,0,5,2,2,1,,1,,1,,1,,0,10,2,8,4,6,2,1,0,1,,0,0,0,0,0,0,0,1,0,3,3
CD0710,ag,1,5,1,1,1,,1,,1,,1,,5,5,1,2,6,4,2,2,0,1,,0,0,0,0,3,3,2,0,0,4,4
CD0711,ag,1,5,1,1,1,,1,,1,,1,,7,3,4,6,5,5,2,2,2,1,,0,1,0,2,2,1,1,3,0,3,3
CD0712,ag,1,5,2,2,1,,0,1,0,1,,,6,4,,,,,,,,,,,,,,,,,,,3,3
CD0713,ag,0,5,2,2,1,,1,,1,,1,,4,6,6,4,5,5,2,2,2,1,,0,1,2,0,2,2,1,3,0,3,3
CD0729,ag,1,5,2,2,1,,1,,1,,1,,3,7,4,2,0,0,1,1,0,1,,0,0,0,0,3,0,3,1,0,3,3
GF5961,yl,1,5,2,2,1,,1,,1,,1,,5,5,3,7,5,3,0,0,1,1,,0,0,0,0,1,1,1,2,0,4,4
GF5962,yl,1,5,1,1,1,,0,1,0,1,,,6,4,,,,,,,,,,,,,,,,,,,4,4
GF5963,yl,1,5,1,1,1,,1,,1,,1,,5,5,4,5,10,0,1,1,0,1,,0,0,0,0,0,1,1,3,0,4,4
GF5964,yl,0,5,1,2,1,,1,,1,,1,,8,2,9,1,5,5,1,0,0,1,,0,0,0,0,0,0,0,3,0,4,4
GF5974,yl,0,5,2,2,1,,1,,1,,1,,7,3,6,4,4,6,0,0,0,1,,0,0,0,0,1,0,0,2,0,4,4
GF5975,yl,0,5,1,1,1,,1,,1,,1,,9,1,10,0,8,2,1,1,1,1,,0,0,0,0,0,1,0,3,0,4,4
GF5976,yl,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,0,,,,,,,,,,,,,,4,4
GF5977,yl,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF6014,yl,1,5,1,1,1,,1,,1,,1,,4,2,5,1,4,6,1,2,2,1,,0,0,0,0,2,1,1,3,0,3,3
GF6015,yl,0,5,1,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3,3
GT2260,mg,0,5,2,2,1,,1,,1,,1,,7,3,8,2,5,5,1,0,0,1,,0,0,0,0,0,0,0,3,0,4,4
GT2266,mg,0,5,1,1,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,4,4
GT2279,mg,1,5,2,2,1,,1,,1,,1,,7,2,8,2,8,2,1,1,1,1,,0,0,0,0,0,1,0,3,1,4,4
HC7836,sd,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC7837,sd,1,5,2,2,1,,0,1,0,1,,,5,5,,,,,2,2,,,,,,,,,,,,,3,3
HC7838,sd,1,5,1,1,1,,1,,1,,1,,3,7,7,3,2,8,0,0,2,1,,1,1,0,0,0,0,0,2,0,3,3
HC7842,sd,0,5,1,1,1,,0,1,0,1,,,7,3,,,,,3,,,,,,,,,,,,,,4,4
HC7843,sd,1,5,1,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,3,3
HC7875,sd,1,5,1,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,4,4
HC7876,sd,0,5,1,1,1,,1,,1,,1,,7,3,6,4,4,6,0,0,1,1,,0,0,1,1,0,0,0,0,0,4,4
HC7882,sd,0,5,2,2,1,,0,1,0,1,,,3,7,,,,,,,,,,,,,,,,,,,4,4
HC7883,sd,0,5,1,1,1,,0,1,0,1,,,7,3,,,,,,,,,,,,,,,,,,,4,4
HC7884,sd,0,5,2,2,1,,0,1,0,1,,,4,6,,,,,2,2,,,,,,,,,,,,,4,4
HC8331,iw,1,5,1,1,1,,0,1,0,1,,,3,7,,,,,0,,,,,,,,,,,,,,4,4
HC8332,iw,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC8333,iw,1,5,2,2,1,,0,1,0,1,,,1,9,,,,,,,,,,,,,,,,,,,4,4
HC8334,iw,1,5,2,2,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,4,4
HC8335,iw,0,5,2,2,1,,1,,1,,1,,2,8,10,0,7,3,2,2,2,1,,0,1,1,1,1,2,1,1,0,4,4
HC8336,iw,0,5,2,2,1,,1,,1,,1,,7,3,7,3,5,5,0,0,0,1,,0,0,0,1,1,2,2,2,0,4,4
HC8337,iw,0,5,2,2,1,,1,,1,,1,,3,7,5,5,1,9,2,2,0,1,,0,0,0,0,0,0,0,1,0,4,4
HC8338,iw,1,5,1,1,1,,1,,1,,1,,2,8,9,1,7,3,2,2,0,1,,0,0,0,1,0,0,0,3,0,3,3
HC8339,iw,0,5,1,1,1,,1,,1,,1,,3,7,4,6,7,3,2,2,1,1,,0,0,1,1,0,2,2,3,0,3,3
HC8340,iw,1,5,2,2,1,,1,,1,,1,,5,5,2,8,6,4,0,0,0,1,,0,0,0,1,0,0,1,3,1,3,3
HC8341,iw,1,5,2,2,1,,1,,1,,1,,5,5,10,0,7,3,2,2,1,1,,2,0,1,1,1,3,2,3,1,3,3
HG1234,mg,0,5,1,1,1,,1,,1,,1,,8,2,2,5,4,4,1,1,0,1,,1,0,1,1,1,1,1,2,0,3,3
HG1239,mg,0,5,2,2,1,,1,,1,,1,,7,3,2,8,3,2,0,0,0,1,,0,0,0,0,0,0,0,3,0,3,3
HG1246,mg,1,5,2,2,1,,1,,1,,1,,7,3,1,5,10,0,2,2,1,1,,0,0,2,1,1,0,0,3,0,3,3
HG1254,yl,0,5,1,1,1,,0,2,1,,1,,4,6,,,3,7,1,1,0,1,,0,0,0,0,0,1,1,3,0,3.2,3
HG1265,yl,1,5,2,2,1,,1,,1,,1,,7,3,3,7,2,8,0,1,0,1,,0,0,0,1,0,1,0,3,0,3,3
HG1268,yl,0,5,2,2,1,,1,,1,,1,,9,1,6,4,3,4,1,1,0,1,,0,0,0,0,0,1,1,3,0,3,3
HG1330,dk,0,5,1,1,1,,1,,1,,1,,1,7,6,4,3,3,2,1,1,1,,0,1,0,0,0,0,0,0,0,3,3
HG1331,dk,1,5,1,1,1,,1,,1,,1,,0,10,5,5,6,4,0,0,0,1,,0,0,0,0,0,0,0,0,0,3,3
HG1334,dk,0,5,2,2,1,,1,,1,,1,,3,7,8,2,6,4,2,2,1,1,,0,1,0,0,1,0,0,0,0,3,3
HG1335,dk,1,5,1,1,1,,1,,1,,1,,6,4,3,0,7,3,2,2,0,1,,0,0,0,0,0,0,0,0,0,3,3
HG1340,dk,1,5,2,2,1,,1,,1,,1,,6,4,2,8,5,5,1,1,1,1,,0,1,1,0,0,0,0,0,0,3,3
HG1341,ag,1,5,1,1,1,,0,1,0,1,,,6,4,,,,,2,,,,,,,,,,,,,,4,4
HG1342,dk,0,5,1,1,1,,1,,1,,1,,7,3,10,0,9,1,2,2,2,1,,0,1,1,0,0,0,1,1,0,3,3
HG1354,ag,1,5,1,1,1,,1,,1,,1,,1,9,1,9,4,6,1,1,2,1,,0,1,0,0,2,0,0,1,0,3,3
HG1360,ag,0,5,1,1,1,,1,,1,,1,,6,4,2,2,6,0,2,2,2,1,,0,1,1,1,1,2,2,3,0,4,4
HG1361,ag,1,5,1,1,1,,0,1,0,1,,,8,0,,,,,,,,,,,,,,,,,,,4,4
HG1362,ag,0,5,1,1,1,,0,1,0,1,,,4,6,,,,,,,,,,,,,,,,,,,4,4
HG1365,ag,1,5,2,2,1,,1,,1,,1,,6,4,5,5,3,7,2,2,2,1,,0,1,0,2,2,1,1,3,0,3,3
HG1366,ag,1,5,1,1,1,,1,,1,,1,,5,5,9,1,7,3,2,2,2,1,,0,1,1,1,2,2,1,2,0,3,3
HG1367,ag,0,5,1,1,1,,0,1,0,1,,,1,9,,,,,3,,,,,,,,,,,,,,3,3
HG1432,dk,0,5,1,1,1,,0,2,1,,1,,6,4,,,7,3,1,1,1,1,,0,1,0,0,0,1,0,0,0,4,4
HG1433,dk,1,5,2,2,1,,1,,1,,1,,7,3,8,2,4,0,2,2,1,1,,0,1,1,0,0,0,0,0,0,4,4
HG1434,dk,0,5,2,2,1,,1,,1,,1,,4,6,10,0,9,1,2,2,2,1,,0,1,1,1,0,1,1,0,0,4,4
HG1435,dk,1,5,2,2,1,,1,,1,,1,,7,3,9,1,9,1,2,2,1,1,,0,1,0,1,1,0,0,0,0,4,4
HG1440,dk,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG1441,dk,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HG1453,ag,1,5,2,2,1,,1,,1,,1,,6,4,0,10,0,10,2,2,2,1,,0,1,0,0,0,0,1,3,0,4,4
LJ5661,yl,1,5,1,1,1,,1,,1,,1,,5,5,9,1,9,1,2,2,0,1,,0,1,0,0,1,1,1,2,0,4,4
LJ5662,yl,0,5,1,1,1,,1,,1,,1,,5,5,7,3,6,4,0,0,0,1,,0,1,0,0,0,1,1,3,0,4,4
LJ5663,yl,0,5,1,1,1,,1,,1,,1,,2,8,4,6,1,9,1,2,0,1,,0,0,0,0,0,1,1,3,0,4,4
LJ5664,yl,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJ5668,yl,0,5,1,1,1,,1,,1,,1,,4,6,5,5,7,3,0,0,0,1,,0,0,0,0,0,0,0,3,0,3,3
