enro_animal_id,redcap_data_access_group,enro_model,enro_sex,rand_conduct,rand_conduct_rsn,rand_conduct_rsn_oth,rand_clot_length,txas_reperfusion,srg_conduct,srg_conduct_rsn,srg_conduct_rsn_oth,srg_comments___1,srg_comments___2,srg_comments___3,srg_comments___4,srg_comments___5,srg_comments___6,srg_comments___7,srg_comments___8,srg_comments___9,srg_exact_occ,srg_animal_age,srg_length_surgery,srg_awake_min,srg_concom_meds_lrs_nacl,srg_concom_meds_sq,eos_day_diff_srg_death,enro_weight,srg_weight,eos_weight,postop_d1_weight,postop_d2_weight,postop_d3_weight,postop_d4_weight,postop_d5_weight,postop_d6_weight,postop_d7_weight,postop_d8_weight,srg_nds_score,postop_d1_nds_score,postop_d2_nds_score,eos_nds_score,bank_tissue_type___1,bank_tissue_type___2,bank_tissue_type___3,bank_tissue_type___4,bank_tissue_type___6,bank_tissue_type___5,srg_clot_length,srg_embolic_draw_sex,srg_donor_eartag,behav_d30_conduct,rand_reperfusion_dose,srg_reperfsn_dose,srg_embolic_draw_dt,srg_actual_surg_dt,srg_reperfsn_vial,txas_reperfusion_actual,rand_reperfusion_vial,txas_pop_assg_comment
RR0055,iw,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,2.27,154,105,1,1,29,274,354,499,340,328,320,329,332,339,345,,2,1,2,0,1,0,0,0,0,0,4,1,WS4353,1,0.27,0.27,2025-07-14,2025-07-16,"TNK G",2,"TNK G",
RR0056,iw,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.92,159,105,1,1,31,264,284,313,269,258,263,265,268,272,269,,1,1,1,2,1,0,0,0,0,0,4,0,HC8332,1,0.26,0.26,2025-07-21,2025-07-22,"TNK D",1,"TNK D",
RR0057,iw,5,1,1,,,4,2,1,,,0,0,0,0,0,0,0,0,1,120,2.14,156,106,1,1,29,249,378,432,316,317,322,,,337,,342,0,0,0,0,1,0,0,0,0,0,4,1,BW5456,1,0.3,0.3,2025-07-28,2025-07-30,"TNK G",2,"TNK G",
RR0058,iw,5,0,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,3.06,140,107,1,1,29,225,260,269,246,247,244,,,251,,253,2,0,0,0,1,0,0,0,0,0,4,0,WS4357,1,0.25,0.25,2025-07-28,2025-07-30,"TNK D",1,"TNK D",
RR0059,iw,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.14,155,107,1,1,2,279,386,342,347,,,,,,,,2,2,,,0,0,0,0,0,0,3,1,BW5458,0,0.32,0.32,2025-08-04,2025-08-06,"TNK C",1,"TNK C",
RR0060,iw,5,1,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,2.1,157,106,1,1,30,318,380,521,334,331,357,363,366,,369,,2,2,0,0,1,0,0,0,0,0,3,1,BW5456,1,0.32,0.32,2025-08-11,2025-08-12,"TNK D",1,"TNK D",
RR0061,iw,5,0,1,,,3,1,1,,,0,0,0,0,0,0,0,0,0,120,3.06,147,97,1,1,29,220,234,237,207,208,214,215,,218,,,0,0,0,1,1,0,0,0,0,0,3,0,WS4357,1,0.22,0.22,2025-08-11,2025-08-13,"TNK C",1,"TNK C",
RR0062,iw,5,0,1,,,3,2,1,,,0,0,0,0,0,0,0,0,0,120,2.99,141,104,1,1,29,248,252,265,249,246,244,244,,,254,,1,1,0,1,1,0,0,0,0,0,3,0,WS4359,1,0.25,0.25,2025-08-16,2025-08-18,"TNK G",2,"TNK G",
RV6518,dk,5,0,1,,,4,2,1,,,0,0,0,0,0,0,0,0,0,120,0.92,145,103,1,1,30,260.5,260,290,244.5,243,244.3,,240.6,,247,,2,2,2,2,1,0,0,0,1,0,4,0,HG1441,1,0.261,0.261,2025-06-23,2025-06-24,"TNK G",2,"TNK G",
RV6519,dk,5,1,1,,,4,1,1,,,0,0,0,0,0,0,0,0,0,120,2.14,175,106,1,1,29,271.6,319,404,297,293.5,299.5,,314.5,,327.5,,1,0,1,0,1,0,0,0,1,0,4,1,HG1440,1,0.272,0.272,2025-06-23,2025-06-25,"TNK F",1,"TNK F",
