enro_animal_id,redcap_data_access_group,enro_model,enro_species,mri_d2_conduct,p_mri_d2_ind,p_mri_d2_rsn___1,p_mri_d2_rsn___2,p_mri_d2_rsn___3,p_mri_d2_rsn___4,p_mri_d2_rsn___5,p_mri_d2_rsn___6,p_mri_d2_rsn___7,p_mri_d2_rsn___8,p_mri_d2_rsn___9,p_mri_d2_rsn_oth,p_mri_d2_adc_qa_snr,p_mri_d2_t2_qa_snr,p_mri_d2_mid_shift_indx,p_mri_d2_mid_shift_left,p_mri_d2_mid_shift_right,p_mri_d2_hem_left_tis,p_mri_d2_hem_right_tis,p_mri_d2_hem_left_csf,p_mri_d2_hem_right_csf,p_mri_d2_hem_right_les,p_mri_d2_hem_left_tot,p_mri_d2_hem_right_tot,p_mri_d2_vol_tis,p_mri_d2_vol_csf,p_mri_d2_vol_les,p_mri_d2_vol_tot,p_mri_d2_fract_csf,p_mri_d2_fract_csf_left,p_mri_d2_fract_csf_right,p_mri_d2_fract_tis,p_mri_d2_fract_tis_left,p_mri_d2_fract_tis_right,p_mri_d2_fract_les,p_mri_d2_fract_les_left,p_mri_d2_fract_les_right,p_mri_d2_comments,mri_d2_conduct_rsn,mri_d2_conduct_rsn_oth,mri_d2_upload_ida,mri_d2_upload_ida_rsn,mri_d2_anes_start_t,txas_reperfusion,txas_reperfusion_actual,enro_sex,rand_clot_length,srg_clot_length,p_mri_d2_hem_left_les
CD0517,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,6.79311652,8.208364844,0.0140628,7.13696,7.23804,684.5839844,685.8417969,36.37109375,35.43554688,3.58203125,721.0351563,724.859375,1370.425781,71.80664063,3.662109375,1445.895,0.04966242,0.050442885,0.048886099,0.9478046,0.949446055,0.94617221,0.002532763,0.00011106,0.004941691,,,,1,,12:30,2,2,1,3,3,0.080078125
CD0523,yl,5,1,1,1,0,0,0,0,0,0,0,0,0,,8.907013123,11.85584256," -0.0048555",7.07966,7.04536,673.703125,635.7890625,32.92578125,28.89453125,42.24414063,706.7128906,706.9277344,1309.492188,61.8203125,42.33984375,1413.652,0.04373093,0.046590039,0.040873388,0.9263185,0.953291123,0.899369245,0.02995068,0.000118838,0.059757368,,,,1,,11:30,2,2,0,3,3,0.083984375
CD0698,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,5.68441029,5.903958576,0.241448,6.31991,8.05535,680.9394531,495.9316406,25.64257813,17.40820313,244.6308594,706.5878906,757.9707031,1176.871094,43.05078125,244.7460938,1464.668,0.02939286,0.036290713,0.022966855,0.803507,0.963700995,0.654288667,0.1671001,8.29E-06,0.322744479,,,,1,,02:25,1,1,0,3,3,0.005859375
CD0699,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.495621035,5.429741924,0.250376,6.28772,8.0873,682.3105469,509.5761719,26.08984375,31.57226563,219.1816406,708.4082031,760.3300781,1191.886719,57.66210938,219.25,1468.799,0.039258,0.036828828,0.04152442,0.8114705,0.963160144,0.670203885,0.1492716,1.10E-05,0.288271695,,,,1,,11:40,1,1,1,3,3,0.0078125
CD0700,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.999404521,5.798876112," -0.0725761",7.44833,6.92669,710.2832031,622.171875,24.90039063,26.5078125,78.00585938,736.2871094,726.6855469,1332.455078,51.40820313,79.17773438,1463.041,0.03513791,0.03381886,0.036477693,0.9107434,0.964682383,0.856177583,0.0541186,0.001498757,0.107344724,,,,1,,12:40,2,2,1,3,3,1.103515625
CD0701,dk,5,1,1,1,0,0,0,0,0,0,0,0,0,,4.589127052,5.91352866," -0.085061",7.49319,6.88182,707.546875,690.6738281,33.734375,31.3828125,6.646484375,741.9238281,728.703125,1398.220703,65.1171875,7.29296875,1470.631,0.0442784,0.045468785,0.043066664,0.9507626,0.953665118,0.947812359,0.004959075,0.000866097,0.009120977,,,,1,,11:25,2,2,0,3,3,0.642578125
CD0710,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.050654524,4.652517676,0.169681,6.57784,7.79745,691.6992188,713.3613281,23.68554688,23.27148438,14.59765625,715.3847656,751.2304688,1405.060547,46.95703125,14.6171875,1466.635,0.03201685,0.033108822,0.030977823,0.9580168,0.966891178,0.949590516,0.009966481,0,0.019431662,,,,1,,09:00,1,1,1,4,4,0
CD0711,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.487787821,5.633170921,0.22945,6.30762,7.94246,660.3789063,488.2832031,44.78125,37.19335938,232.1757813,705.1738281,757.6523438,1148.662109,81.97460938,232.2558594,1462.893,0.05603596,0.063503846,0.049090272,0.7851989,0.936476766,0.644468676,0.1587648,1.94E-05,0.306441052,,,,1,,10:30,1,1,1,3,3,0.013671875
CD0712,ag,5,1,0,,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,1,3,3,
CD0713,ag,5,1,1,1,0,0,0,0,0,0,0,0,0,,3.107231002,5.249960042,0.0978536,6.53863,7.21137,620.1640625,617.1503906,37.02929688,42.28710938,12.16015625,657.1992188,671.5976563,1237.314453,79.31640625,12.16796875,1328.798,0.05969034,0.056344098,0.062964945,0.9311528,0.943646987,0.918928744,0.009157125,8.92E-06,0.018106311,,,,1,,10:30,2,2,0,3,3,0.005859375
